arch,regime,act,width,width_paper,seedA,seedB,t,rq_t,src,status
mlp,ntk,gelu,128,128,1,3,0.85,3.438875e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,3,0.9,2.881343e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,3,0.95,2.311787e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,3,1.0,1.828715e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,4,0.0,2.458687e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,4,0.05,3.099646e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,4,0.1,3.832058e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,4,0.15,4.509771e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,4,0.2,4.896664e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,4,0.25,4.729114e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,4,0.3,3.905348e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,4,0.35,2.648058e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,4,0.4,1.410819e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,4,0.45,6.208311e-06,04_profile,ok
