mode,regime,act,width,smooth,seed,nparams,lmax,pow_gap,trP,trP_sem,probes,acc,status
mlp,sp,gelu,64,1,2,55050,1.489335e-01,2.25e-05,3.476050e-05,1.623e-06,24,0.9813,ok
mlp,sp,gelu,64,1,3,55050,1.682364e-01,2.66e-06,3.823706e-05,1.879e-06,24,0.9821,ok
mlp,sp,gelu,64,1,4,55050,1.300547e-01,6.76e-06,2.977017e-05,1.293e-06,24,0.9827,ok
mlp,sp,swish,64,1,0,55050,1.776760e-01,1.04e-03,5.223086e-05,1.867e-06,24,0.9805,ok
mlp,sp,swish,64,1,1,55050,9.628256e-02,2.16e-04,2.750426e-05,1.388e-06,24,0.9805,ok
mlp,sp,swish,64,1,2,55050,1.218454e-01,7.34e-07,2.975959e-05,1.294e-06,24,0.9793,ok
mlp,sp,swish,64,1,3,55050,1.108072e-01,1.32e-03,3.409658e-05,1.441e-06,24,0.9798,ok
mlp,sp,swish,64,1,4,55050,9.420426e-02,3.13e-04,3.919308e-05,1.727e-06,24,0.9793,ok
mlp,mup,relu,64,0,0,55050,1.382405e-01,1.19e-05,4.418956e-05,1.678e-06,24,0.9805,ok
mlp,mup,relu,64,0,1,55050,1.307609e-01,1.57e-04,3.648665e-05,1.452e-06,24,0.9813,ok
mlp,mup,relu,64,0,2,55050,1.801076e-01,2.73e-04,4.957954e-05,2.260e-06,24,0.9798,ok
mlp,mup,relu,64,0,3,55050,1.178634e-01,2.81e-04,4.187211e-05,1.753e-06,24,0.9797,ok
mlp,mup,relu,64,0,4,55050,2.198024e-01,4.75e-07,4.748900e-05,2.448e-06,24,0.9817,ok
mlp,mup,tanh,64,1,0,55050,2.462775e-01,6.67e-04,1.356131e-04,4.106e-06,24,0.9716,ok
mlp,mup,tanh,64,1,1,55050,1.753846e-01,2.08e-03,1.151422e-04,2.275e-06,24,0.9754,ok
mlp,mup,tanh,64,1,2,55050,2.816123e-01,0.00e+00,1.300000e-04,3.291e-06,24,0.9745,ok
mlp,mup,tanh,64,1,3,55050,2.127996e-01,1.32e-02,1.481247e-04,3.419e-06,24,0.9757,ok
mlp,mup,tanh,64,1,4,55050,2.170190e-01,5.34e-04,1.311894e-04,3.778e-06,24,0.9752,ok
mlp,mup,softplus,64,1,0,55050,1.487743e-01,6.41e-04,4.591001e-05,1.674e-06,24,0.9811,ok
mlp,mup,softplus,64,1,1,55050,2.143632e-01,8.34e-07,4.868480e-05,2.077e-06,24,0.9814,ok
mlp,mup,softplus,64,1,2,55050,2.113126e-01,5.86e-04,4.962748e-05,2.886e-06,24,0.9801,ok
mlp,mup,softplus,64,1,3,55050,1.541989e-01,9.21e-05,4.546797e-05,2.033e-06,24,0.9803,ok
mlp,mup,softplus,64,1,4,55050,1.994547e-01,1.27e-06,4.517285e-05,1.605e-06,24,0.9798,ok
