kind,shard,regime,act,width,seed,seedA,seedB,acc,accA,accB,barrier,dF_op,wmove,epochs,status,_src
net,1,ntk,softplus,4096,0.0,,,0.8897,,,,6.5e-05,0.0143,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,4096,1.0,,,0.8898,,,,9.2e-05,0.0145,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,4096,2.0,,,0.8879,,,,0.000102,0.0142,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,4096,3.0,,,0.889,,,,7.6e-05,0.0143,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,4096,4.0,,,0.8904,,,,6.4e-05,0.0143,30,ok,param_mlp_v2_shard1.csv
net,2,sp,relu,64,0.0,,,0.9807,,,,,1.8405,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,64,1.0,,,0.9807,,,,,1.8237,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,64,2.0,,,0.9819,,,,,1.8346,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,64,3.0,,,0.979,,,,,1.8303,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,64,4.0,,,0.9796,,,,,1.8296,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,128,0.0,,,0.984,,,,,1.2684,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,128,1.0,,,0.9829,,,,,1.2512,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,128,2.0,,,0.9831,,,,,1.2739,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,128,3.0,,,0.9839,,,,,1.2731,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,128,4.0,,,0.9856,,,,,1.2678,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,256,0.0,,,0.9847,,,,,0.8497,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,256,1.0,,,0.9847,,,,,0.8541,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,256,2.0,,,0.9836,,,,,0.8474,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,256,3.0,,,0.9846,,,,,0.8474,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,256,4.0,,,0.984,,,,,0.852,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,512,0.0,,,0.9857,,,,,0.5703,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,512,1.0,,,0.9855,,,,,0.5763,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,512,2.0,,,0.9853,,,,,0.5731,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,512,3.0,,,0.9856,,,,,0.577,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,512,4.0,,,0.986,,,,,0.5789,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,1024,0.0,,,0.9858,,,,,0.3863,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,1024,1.0,,,0.9852,,,,,0.3822,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,1024,2.0,,,0.9861,,,,,0.3824,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,1024,3.0,,,0.9851,,,,,0.3839,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,1024,4.0,,,0.9863,,,,,0.3887,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,2048,0.0,,,0.9852,,,,,0.2542,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,2048,1.0,,,0.9855,,,,,0.2541,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,2048,2.0,,,0.9854,,,,,0.2528,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,2048,3.0,,,0.9849,,,,,0.2536,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,2048,4.0,,,0.986,,,,,0.2543,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,4096,0.0,,,0.9863,,,,,0.1708,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,4096,1.0,,,0.9859,,,,,0.1733,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,4096,2.0,,,0.9862,,,,,0.172,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,4096,3.0,,,0.9852,,,,,0.1675,30,ok,param_mlp_v2_shard2.csv
net,2,sp,relu,4096,4.0,,,0.9852,,,,,0.1705,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,64,0.0,,,0.9828,,,,0.065204,1.8331,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,64,1.0,,,0.9799,,,,0.067234,1.8014,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,64,2.0,,,0.9813,,,,0.114432,1.8261,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,64,3.0,,,0.9821,,,,0.055272,1.8444,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,64,4.0,,,0.9827,,,,0.074036,1.8362,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,128,0.0,,,0.9849,,,,0.02565,1.2163,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,128,1.0,,,0.9856,,,,0.025694,1.2432,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,128,2.0,,,0.9842,,,,0.042917,1.2359,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,128,3.0,,,0.9845,,,,0.018695,1.2196,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,128,4.0,,,0.9838,,,,0.023327,1.2447,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,256,0.0,,,0.9842,,,,0.013799,0.8043,30,ok,param_mlp_v2_shard2.csv
net,2,sp,gelu,256,1.0,,,0.9866,,,,0.013461,0.8029,30,ok,param_mlp_v2_shard2.csv
